Year,Settlement,Subdivision,Country,Notes
200,Mitla,Oaxaca,Mexico,
600,Cantona,Puebla,Mexico,
650,Cahokia,Illinois,United States,
874,Reykjavík,Capital Region,Iceland,First European settlement in the Americas. Founding is given as 874 CE by Ingólfr Arnarson in the Landnámabók. Reykjavík is located west of the Mid-Atlantic Ridge on the American plate.
985?,Eastern Settlement,Greenland,Denmark,"Norse explorer Erik the Red established this settlement, followed by the Western Settlement c. 985."
1000,L'Anse aux Meadows,Newfoundland and Labrador,Canada,First European settlement in the New World. Norse explorer Leif Ericson established a settlement on this site in 1003.
1050,Motul,Yucatán,Mexico,
1054,Antiguo Cuscatlan,La Libertad,El Salvador,
1100,Oraibi,Arizona,United States,
1144,Acoma Pueblo,New Mexico,United States,"Oldest continuously occupied community in the US,[citation needed] known today as Sky City"
1325,Tenochtitlan,Distrito Federal,Mexico,Present-day Mexico City
1450,Taos Pueblo,New Mexico,United States,One of the oldest continuously inhabited Native American settlements in the United States[citation needed]
1493,La Isabela,Puerto Plata,Dominican Republic,First European settlement in the New World during the Age of Discovery. Abandoned by 1500.
1494,Concepción de la Vega,La Vega,Dominican Republic,"Founded by Christopher Columbus in 1494 as a gold town, and abandoned by 1562 after an earthquake destroyed the settlement."
1496,Santo Domingo,Distrito Nacional,Dominican Republic,Oldest continuously inhabited European-established settlement in the Americas. Present-day capital of the Dominican Republic.
1497,St. John's,Newfoundland and Labrador,Canada,"Oldest English-founded city in North America, seasonal until c. 1630"
1508,Caparra,Puerto Rico,United States,
1509,Sevilla la Nueva,"Seville, St. Ann's Bay",Jamaica,"Established by Juan de Esquivel, the first Spanish governor of Jamaica, St Ann's Bay was the third capital established by Spain in the Americas."
1510,Nombre de Dios,Colón,Panama,Oldest continuously inhabited European-established settlement in Panama and the continental Americas
1511,Baracoa,Guantánamo,Cuba,"Oldest continuously inhabited European-established settlement in Cuba, and its former capital"
1513,Bayamo,Granma,Cuba,Capital of Cuba in 1513
1514,Santiago,Santiago,Cuba,
1515,Havana,Havana,Cuba,Present-day capital of Cuba
1519,La Villa Rica de la Vera Cruz,Veracruz,Mexico,Oldest continuously inhabited European-established settlement in Mexico
1519,Panama City,Panamá,Panama,First European city on the Pacific coast of the Americas
1521,San Juan,Puerto Rico,United States,Oldest continuously inhabited European-established settlement in the contiguous United States or U.S. territories
1524,Quetzaltenango,Guatemala,Guatemala,
1525,San Salvador,San Salvador Department,El Salvador,"Diego de Holguín became the first mayor of San Salvador after the town was founded on April 1, 1525. Founded on what is now the archaeological site of Ciudad Vieja, north of the present-day city, it was moved to the Valle de Las Hamacas (Acelhuate Valley)."
1524,Granada,Granada,Nicaragua,Oldest continuously inhabited European-established settlement in Nicaragua
1526,Acámbaro,Guanajuato,Mexico,
1526,San Miguel de Gualdape,"South Carolina, then Georgia",United States,"First European settlement in the contiguous U.S., abandoned after three months"
1531,Mazatlán,Sinaloa,Mexico,
1531,Puebla City,Puebla,Mexico,
1531,Culiacán,Sinaloa,Mexico,
1531,Querétaro City,Querétaro,Mexico,
1532,Oaxaca,Oaxaca,Mexico,
1534,Villa de la Vega,Saint Catherine Parish,Jamaica,"After founding Seville in 1509, Spanish settlers moved to a healthier site which they named Villa de la Vega. The English renamed it Spanish Town when they conquered the island in 1655."
1536,San Pedro Sula,Cortés,Honduras,
1539,Zuni Pueblo,New Mexico,United States,"Ferguson, T.J. (1985). A Zuni Atlas. Norman, OK: University of Oklahoma Press"
1540,Compostela,Nayarit,Mexico,Known as Capital de la Nueva Galicia Compostela (1548–1560)
1540,Childersburg,Alabama,United States,"Possibly the oldest still-occupied village in eastern North America, established by Native Americans"
1540,Campeche,Campeche,Mexico,
1541,Morelia,Michoacán,Mexico,Known as Valladolid until 1828
1541,Charlesbourg-Royal,Quebec,Canada,First French settlement; short-lived
1542,Yuriria,Guanajuato,Mexico,
1542,Mérida,Yucatán,Mexico,Founded by Francisco de Montejo on the ruins of the Maya city of T'ho
1542,Guadalajara,Jalisco,Mexico,
1542,San Miguel de Allende,Guanajuato,Mexico,
1543,Santiago de los Caballeros de Guatemala (Antigua Guatemala),Guatemala,Guatemala,
1550,Acapulco,Guerrero,Mexico,Discovered by Cortés in 1531; settled in 1550.
1559,Pensacola,Florida,United States,Spanish explorer Tristán de Luna founded a short-lived settlement in 1559.
1560,Port of Spain,Port of Spain,Trinidad And Tobago,"A Spanish garrison was posted near the foot of the Laventille Hills, which today form the city's eastern boundary."
1563,Cartago,Cartago,Costa Rica,Oldest continuously inhabited European-established settlement in Costa Rica
1563,Villa de Durango,Durango,Mexico,Capital of the Nueva Vizcaya province of Villa New Spain
1564,Fort Caroline,Florida,United States,"A permanent settlement of 200 soldiers and artisans led by Rene de Goulaine de Laudonniere, who had accompanied Ribault on a previous expedition. With help from the Timucua Indians, the colonists began building a village and fort on the river's south bank and named the area La Caroline after Charles IX."
1564,Villa Hermosa de San Juan Bautista,Tabasco,México,"Founded on June 24, 1564 (the feast of San Juan Bautista, hence its original name) by Diego de Quijada"
1565,Saint Augustine,Florida,United States,Oldest continuously inhabited European-established settlement in the contiguous U.S. San Agustín/St. Augustine was founded by Pedro Menéndez de Avilés.
1566,Saint Marys,Georgia,United States,Second-oldest continuously inhabited European-established settlement in the contiguous U.S.; on the St. Mary's River
1573,San Germán,Puerto Rico,United States,
1575,Saltillo,Coahuila,Mexico,Oldest post-conquest settlement in northern Mexico
1575,Aguascalientes,Aguascalientes,Mexico,
1576,León,Guanajuato,Mexico,
1583,Harbour Grace,Newfoundland and Labrador,Canada,First permanent English settlement in North America
1585,Roanoke Colony,North Carolina,United States,"Settlers were left on the island on August 17, 1585."
1587-1623,Mantle Site,Ontario,Canada,"Massive late Woodland Huron-Wendat village site, with trade links reaching as far as Newfoundland."
1596,Monterrey,Nuevo León,Mexico,
1597,Portobelo,Colón,Panama,
1598,Parras,Coahuila,Mexico,
1598,Española,New Mexico,United States,"First European-founded capital of the ""New World"" in the United States, established by Juan de Oñate."
1598,San Juan de los Caballeros,New Mexico,United States,"With Española, the oldest European-founded settlement in the southwestern United States"
1599,Tadoussac,Quebec,Canada,"Oldest continuously inhabited French-established settlement in the Americas, and the oldest European-established settlement in Quebec"
1603,Salamanca,Guanajuato,Mexico,
1604,Saint John,New Brunswick,Canada,
1604,Canso,Nova Scotia,Canada,"Founded in 1604, settled in 1518 by European fur traders and fishermen. Canso and the surrounding islands were involved in the French and English struggles to control the area."
1604,L'Ile-aux-Marins,Saint Pierre and Miquelon,France,
1604,Saint Croix Island,Maine,United States,"Established in the summer of 1604 by a French expedition, led by Pierre Dugua, which included Samuel de Champlain. After the winter of 1604–1605 the survivors relocated and founded Port Royal, Nova Scotia."
1605,Port Royal,Nova Scotia,Canada,"Established in the summer of 1605 by French colonizing explorers Pierre du Gua de Monts and Samuel de Champlain, who established Quebec City in 1608."
1607,Jamestown,Virginia,United States,Oldest permanent European settlement in the Thirteen Colonies
1607,Popham Colony,Maine,United States,"Short-lived settlement, a Plymouth Company project"
1607,Santa Fe,New Mexico,United States,Oldest continuously inhabited state capital in the US
1608,Québec,Quebec,Canada,"Originally settled by Jacques Cartier in 1535, who abandoned it in 1536. He returned in 1541, but abandoned the site again. Samuel de Champlain established a permanent settlement on July 3–4, 1608. Only completely-garrison-walled city north of Mexico"
1610,Cupids,Newfoundland and Labrador,Canada,Oldest continuously occupied English settlement in Canada
1610,Hampton,Virginia,United States,Oldest continuously occupied English settlement in the United States
1610,Kecoughtan,Virginia,United States,
1611,Henricus,Virginia,United States,
1612,St. George's,St. George,Bermuda,Oldest continuously inhabited European-established settlement in Bermuda
1613,"Newport News, Virginia",Virginia,United States,
1614,Albany,New York,United States,"Oldest European settlement in New York State, founded as Fort Nassau and renamed Fort Orange in 1623. First Dutch settlement in North America"
1615,Taos,New Mexico,United States,
1620,Plymouth,Massachusetts,United States,Oldest town in New England and Massachusetts. Settled by Pilgrims from the Mayflower.
1622,Weymouth,Massachusetts,United States,"The Wessagusset Colony, resettled and renamed in 1623"
1623,Dover,New Hampshire,United States,oldest settlement in New Hampshire
1623,Gloucester,Massachusetts,United States,"Abandoned in 1629, but quickly resettled"
1623,Eliot,Maine,United States,Part of Kittery until 1810
1624,Chelsea,Massachusetts,United States,
1624,Fort Wilhelmus,New Jersey,United States,Short-lived factorij on what is now Burlington Island in Delaware River
1624,Fort Orange,New York,United States,Dutch factorij which grew to become the Capital District around Albany
1624,New Amsterdam,New York,United States,"Present-day New York City. Was settled 1624 on Governors Island first settled, followed by Manhattan the following year."
1625,Merrymount,Massachusetts,United States,"Now Quincy, Massachusetts"
1626,Salem,Massachusetts,United States,
1626,Socorro,New Mexico,United States,"Originally founded as Nuestra Señora de Perpetuo Socorro; abandoned in 1680 after the Pueblo Revolt, and resettled in 1815."
1626,Fort Nassau,New Jersey,United States,A Dutch factorij on Big Timber Creek near what is now Gloucester City
1627,Duxbury,Massachusetts,United States,
1627,Scituate,Massachusetts,United States,
1627,Basseterre,Saint Kitts,Saint Kitts and Nevis,
1628,Bridgetown,Saint Michael,Barbados,
1629,Marblehead,Massachusetts,United States,First naval stronghold of the colonies
1629,Lynn,Massachusetts,United States,"Founded as Saugus, but different from Saugus, Massachusetts."
1629,Charlestown,Massachusetts,United States,Now a neighborhood in Boston
1630,Portsmouth,New Hampshire,United States,First known as Strawbery Banke.
1630,Pavonia,New Jersey,United States,"First Dutch patroonship in New Jersey, now part of Jersey City"
1630,Medford,Massachusetts,United States,
1630,Watertown,Massachusetts,United States,
1630,Dorchester,Massachusetts,United States,Now a neighborhood in Boston
1630,Boston,Massachusetts,United States,
1630,Roxbury,Massachusetts,United States,Later annexed by Boston in 1868
1631,Saco,Maine,United States,Settled as Winter Harbor.
1631,South Berwick,Maine,United States,Settled by sailors from the Pied Cow who landed at the confluence of the Salmon Falls and Great Works Rivers
1631,Lewes,Delaware,United States,"Purchased in 1629 and settled as the short-lived Dutch Zwaanendael Colony in 1631. Because Lewes was Delaware's first town and because Delaware was the first state to ratify the Constitution, it is known as ""the first town in the first state.""[citation needed]"
1631,Cambridge,Massachusetts,United States,
1632,Williamsburg,Virginia,United States,
1633,Ipswich,Massachusetts,United States,
1632,St. John's,Antigua,Antigua and Barbuda,
1633,Hartford,Connecticut,United States,"Founded as Fort Hoop by the Dutch, renamed by Thomas Hooker in 1637"
1633,Windsor,Connecticut,United States,"First English settlement in Connecticut. Founded as Dorchester, renamed in 1637."
1634,Beauport,Quebec,Canada,Became a borough of Quebec City in January 2002.
1634,Wethersfield,Connecticut,United States,"Founded as Watertown, renamed in 1637."
1634,Green Bay,Wisconsin,United States,
1634,St. Mary's City,Maryland,United States,The original settlement was the fourth oldest permanent English settlement in the United States.
1634,Trois-Rivières,Quebec,Canada,
1634,Willemstad,Curaçao,Kingdom of the Netherlands,"Formerly part of the Netherlands Antilles, now a country of the Kingdom of the Netherlands"
1635,Hingham,Massachusetts,United States,"First discovered in 1633 and named ""Bare Cove"", the area was owned by the Native American Tribe Wampanoag.[citation needed] Hingham was settled and established by Reverend Peter Hobart and his followers in 1635; they renamed the area ""Hingham"", referencing Hingham, Norfolk England. It was then incorporated into the Massachusetts Bay Colony as the 12th town and decades later it was purchased officially from the local natives on July 4, 1655.[citation needed]"
1635,Concord,Massachusetts,United States,
1635,Newbury,Massachusetts,United States,
1636,Springfield,Massachusetts,United States,"The Massachusetts Bay Colony's first Connecticut River port and its westernmost settlement, 85 miles (137 km) west of Boston Founded as Agawam Plantation by William Pynchon."
1636,Providence,Rhode Island,United States,"Oldest settlement in Rhode Island, founded by Roger Williams."
1637,Taunton,Massachusetts,United States,
1637,Sandwich,Massachusetts,United States,Oldest town on Cape Cod
1638,Rowley,Massachusetts,United States,
1638,Portsmouth,Rhode Island,United States,Founded by Anne Hutchinson
1638,Exeter,New Hampshire,United States,"One of the four original towns of New Hampshire. Revolutionary War capital of New Hampshire, and site of the ratification of the first state constitution in the North American colonies in January 1776."
1638,Hampton,New Hampshire,United States,Founded by Stephen Bachiler; first known as Winnicunnet.
1638,Sillery,Quebec,Canada,Now part of Quebec City
1638,Swedesboro,New Jersey,United States,Nucleus of the New Sweden colony along the Delaware River into Pennsylvania and Delaware
1638,New Haven,Connecticut,United States,
1638,Sainte-Foy,Quebec,Canada,Merged with the City of Québec in 2002.
1638,Wilmington,Delaware,United States,"Grew from Fort Christina, part of the New Sweden colony; originally called Willington"
Before 1639,St. Marks,Florida,United States,
1639,Stratford,Connecticut,United States,
1639,Milford,Connecticut,United States,
1639,Newport,Rhode Island,United States,
1639,Sudbury,Massachusetts,United States,
1640,Southampton,New York,United States,
1640,Farmington,Connecticut,United States,Founded as Tunxis
1640,Braintree,Massachusetts,United States,"First settled in 1625 as Merrymount, resettled and incorporated in 1640."
1640,Woburn,Massachusetts,United States,"First settled in 1640, incorporated in 1642."
1641,Haverhill,Massachusetts,United States,"First settled in 1640, incorporated in 1641."
1642,Maspeth,New York,United States,
1642,Ville-Marie (Montréal),Quebec,Canada,
1642,Lexington,Massachusetts,United States,
1642,Sorel,Quebec,Canada,Present-day Sorel-Tracy
1642,Warwick,Rhode Island,United States,
1643,Basse-Terre,Guadeloupe,France,Territorial capital
1643,Dolores Hidalgo,Guanajuato,Mexico,
1643,Guilford,Connecticut,United States,
1643,Rehoboth,Massachusetts,United States,"Settled 1636, incorporated 1643"
1644,Hull,Massachusetts,United States,
1644,Longmeadow,Massachusetts,United States,"Incorporated October 17, 1783."
1644,Branford,Connecticut,United States,Originally Brentford
1644,Salvatierra,Guanajuato,Mexico,
1645,Vlissingen,New York,United States,Present-day Flushing
1646,Andover,Massachusetts,United States,"The original Andover, founded by Simon and Anne Bradstreet and the Barker, Osgood, Stevens, Woodbridge and other families, split into two towns on April 7, 1855."
1646,Château-Richer,Quebec,Canada,
1646,New London,Connecticut,United States,Founded as Faire Harbour
1647,Kittery,Maine,United States,Oldest incorporated town in Maine
1647,La Prairie,Quebec,Canada,Founded as a mission by the Jesuits in 1647. The first parish was founded in 1667.
1647,Spanish Wells,Eleuthera,Bahamas,
1649,Annapolis,Maryland,United States,
1650,Saint-Ours,Quebec,Canada,
1650,Kingston,New York,United States,"Settled by the Dutch as Esopus, renamed in 1664 by the English."
1651,Cap-de-la-Madeleine,Quebec,Canada,Became a borough of Trois-Rivières in January 2002.
1651,Medfield,Massachusetts,United States,
1651,New Castle,Delaware,United States,"Site of Tomakonck, a former native village. Settled by the Dutch as Fort Casimir; renamed New Amstel in 1654."
1651,Sainte-Anne-de-Beaupré,Quebec,Canada,
1652,Natick,Massachusetts,United States,"Founded by John Eliot; its name derives from a Massachusett word meaning ""place of hills""."
1653,Lancaster,Massachusetts,United States,
1654,Northampton,Massachusetts,United States,Founded by a group led by William Houlton and John King.
1654,Pelham,New York,United States,"Founded by Thomas Pell, who purchased 9,000 acres (14 sq mi) from the Siwanoy tribe and received a land grant from the English crown."
1655,Cap-Saint-Ignace,Quebec,Canada,
1655,Chelmsford,Massachusetts,United States,Founded by settlers from Concord.
1655,Groton,Massachusetts,United States,
1655,Billerica,Massachusetts,United States,
1657,Longueuil,Quebec,Canada,
1658,Harlem,New York,United States,
1659,Norwichtown,Connecticut,United States,Consolidated with the city of Norwich in 1952.
1659,Assonet,Massachusetts,United States,Incorporated 1683
1659,Hadley,Massachusetts,United States,Founded by a group led by John Russell and Nathaniel Dickinson.
1659,Ciudad Juárez,Chihuahua,Mexico,
1660,Bergen,New Jersey,United States,"first chartered settlement in New Jersey, at Bergen Square, now part of Jersey City"
1660,Placentia,Newfoundland Colony,Canada,"French capital until 1713, originally known as Plaisance"
1660,Rye,New York,United States,
1660,Wrentham,Massachusetts,United States,Separated from Dedham 1660. Incorporated 1673,
1661,Schenectady,New York,United States,
1662,Uxbridge,Massachusetts,United States,
1664,L'Ange-Gardien,Quebec,Canada,
1664,Middletown,New Jersey,United States
1664,Woodbridge,New Jersey,United States,"Settled in 1664 and granted a royal charter on June 1, 1669, by King Charles II of England."
1665,Chambly,Quebec,Canada,
1665,Port-de-Paix,Nord-Ouest,Haiti,
1666,Charlesbourg,Quebec,Canada,Became a borough of Quebec City in 2002.
1666,Newark,New Jersey,United States,
1666,Piscatawaytown,New Jersey,United States,"The village within the Township of Piscataway, now part of Edison"
1666,Saint-Jean-sur-Richelieu,Quebec,Canada,Expanded from Fort Saint-Jean.
1667,Boucherville,Quebec,Canada,
1667,Mendon,Massachusetts,United States,"Netmocke Plantation, 1662"
1668,Amesbury,Massachusetts,United States,
1668,Saint-Nicolas,Quebec,Canada,Merged with Lévis in 2002.
1668,Sault Ste. Marie,Ontario,Canada,Oldest city in Ontario
1668,Sault Ste. Marie,Michigan,United States,Oldest city in Michigan
1668,Elizabethtown,New Jersey,United States,designated the first capital of New Jersey by the British
1669,Neuville,Quebec,Canada,
1669,Westfield,Massachusetts,United States,
1669,Middleborough,Massachusetts,United States,
1670,Charleston,South Carolina,United States,
1670,Repentigny,Quebec,Canada,
1670,Wallingford,Connecticut,United States,
1670,Hatfield,Massachusetts,United States,
1671,St. Ignace,Michigan,United States,Founded by Jacques Marquette as the St.Ignace Mission. Second oldest city in Michigan.
1672,Varennes,Quebec,Canada,
1672,Verchères,Quebec,Canada,
1673,L'Ancienne-Lorette,Quebec,Canada,
1673,"Worcester, Massachusetts",Massachusetts,United States,Incorporated as a city in 1848.
1673,Prairie du Chien,Wisconsin,United States,"Founded on June 17, 1673, by French Pioneers."
1674,Pointe-aux-Trembles,Quebec,Canada,Now part of Montreal.
1674,Waterbury,Connecticut,United States,
1674,Deerfield,Massachusetts,United States,
1675,Lachine,Quebec,Canada,Merged into Montreal in 2002.
1675,Lavaltrie,Quebec,Canada,
1676,Contrecoeur,Quebec,Canada,
1676,Loretteville,Quebec,Canada,Merged with Quebec City in 2002.
1677,Sainte-Anne-de-Bellevue,Quebec,Canada,
1677,Crosswicks,New Jersey,United States,Settled by Quakers
1678,La Pocatière,Quebec,Canada,
1678,Montmagny,Quebec,Canada,
1679,Lévis,Quebec,Canada,"The first settlement was formerly known as Lauzon, which merged with Lévis in 1989."
1679,L'Islet,Quebec,Canada,
1679,Saint-Augustin-de-Desmaures,Quebec,Canada,
1680,Ysleta,Texas,United States,
1680,South Orange,New Jersey,United States,Expanded from Newark (later Orange)
1680,Creve Coeur,Illinois,United States,"Originally Fort Crevecoeur, later Fort Clark (1813)."
1681,Baie-Saint-Paul,Quebec,Canada,
1681,Berthierville,Quebec,Canada,
1681,Cockburn Town,Turks and Caicos Islands,United Kingdom,
1681,Bridgewater Township,New Jersey,United States,
1681,Saint-François,Quebec,Canada,Integrated into Laval in 1965.
1682,Moorestown,New Jersey,United States,
1682,Philadelphia,Pennsylvania,United States,
1682,Norfolk,Virginia,United States,
1683,Dover,Delaware,United States,
1683,Lachenaie,Quebec,Canada,"In 2001, Lachenaie merged with Terrebonne."
1682,Rivière-du-Loup,Quebec,Canada,
1684,Bécancour,Quebec,Canada,
1686,Arkansas Post,Arkansas,United States,
1687,New Britain,Connecticut,United States,
1687,Rivière-des-Prairies,Quebec,Canada,Now part of the Rivière-des-Prairies–Pointe-aux-Trembles borough of Montreal.
1690,Oka,Quebec,Canada,
1693,Glastonbury,Connecticut,United States,Settled 1636; incorporated in 1693 as Glassenbury. Known as Glastenbury from about 1785 to 1870.)
1693,Kingston,Kingston,Jamaica,
1694,Newark,Delaware,United States,
1694,Santa Cruz,New Mexico,United States,
1695,Nassau,New Providence,Bahamas,
1696,Rimouski,Quebec,Canada,
1696,Sault-au-Récollet,Quebec,Canada,Now part of the Ahuntsic-Cartierville borough of Montreal
1698,Pensacola,Florida,United States,Founded by Don Tristán de Luna y Arellano in 1559; abandoned in 1561. Permanently established in 1698.
1700,Mascouche,Quebec,Canada,
1701,Detroit,Michigan,United States,
1701,Dracut,Massachusetts,United States,
1701,Nicolet,Quebec,Canada,
1702,Le Moyne,Alabama,United States,Founded as Fort Louis de la Louisiane by France; abandoned in 1711.
1703,Amherst,Massachusetts,United States,
1703,Kaskaskia,Illinois,United States,
1703,Saint-Sulpice,Quebec,Canada,
