Year,Settlement,Subdivision,Country,Notes
1705,Bath,North Carolina,United States,Oldest incorporated town in North Carolina
1706,Albuquerque,New Mexico,United States,
1709,Chihuahua,Chihuahua,Mexico,
1710,Chatham,New Jersey,United States,Land purchased in 1680.
1710,New Bern,North Carolina,United States,Settled by German-Swiss immigrants.
1711,Mobile,Alabama,United States,Le Moyne relocated to Mobile.
1711,Needham,Massachusetts,United States,
1711,Pointe-Claire,Quebec,Canada,
1711,Beaufort,South Carolina,United States,
1714,Natchitoches,Louisiana,United States,Oldest settlement in the Louisiana Purchase
1714,Freehold,New Jersey,United States,"Originally known as Monmouth Courthouse, the site of the Battle of Monmouth"
1715 (prior to),Kekionga,Indiana,United States,Capital of the Miami people
1715,Les Cèdres,Quebec,Canada,
1716,Kahnawake,Quebec,Canada,Homeland of Saint Kateri Tekakwitha (1656–1680).
1716,Nacogdoches,Texas,United States,Spanish mission established in an older Caddo village.
1716,Natchez,Mississippi,United States,Dates to the founding of Fort Rosalie by the French.
1716,Georgetown,Maine,United States,"Originally the present-day West Bath, Bath, Phippsburg, Arrowsic, Georgetown and part of Woolwich"
1717,L'Assomption,Quebec,Canada,Settled 1647
1717,Ouiatenon,Indiana,United States,
1718,New Orleans,Louisiana,United States,
1718,San Antonio,Texas,United States,
1719,Longue-Pointe,Quebec,Canada,Now part of Montreal
1719,Trenton,New Jersey,United States,
1720,Saint-Laurent,Quebec,Canada,Merged with Montreal in 2002.
1720,Biloxi,Mississippi,United States,Founded as Fort Louis by France
1721,Baton Rouge,Louisiana,United States,
1721,Cortazar,Guanajuato,Mexico,
1721,Saint-Jean-Port-Joli,Quebec,Canada,
1722,Prairie Du Rocher,Illinois,United States,
1722,Louiseville,Quebec,Canada,
1723,Beaufort,North Carolina,United States,
1723,Terrebonne,Quebec,Canada,
1725,Concord,New Hampshire,United States,
1728,Fredericksburg,Virginia,United States,
1728,Nuuk,Sermersooq,Greenland,
1729,Baltimore,Maryland,United States,
1729,Lancaster,Pennsylvania,United States,
1729,Pabos,Quebec,Canada,Now part of Chandler.
1729,Georgetown,South Carolina,United States,
1730,New Brunswick,New Jersey,United States,
1732,Lanoraie,Quebec,Canada,
1732,Vincennes,Indiana,United States,
1732,Camden,South Carolina,United States,
1732,Kingstree,South Carolina,United States,
1733,Richmond,Virginia,United States,
1733,Saint-Vincent-de-Paul,Quebec,Canada,Integrated into Laval in 1965.
1733,Savannah,Georgia,United States,
1733,Wilmington,North Carolina,United States,"Founded as ""New Carthage"" in 1733, renamed Wilmington in 1740"
1735,Ste. Genevieve,Missouri,United States,French colonial settlement; oldest continually-inhabited settlement in Missouri
1736,Châteauguay,Quebec,Canada,
1736,Gorham,Maine,United States,
1736,Augusta,Georgia,United States,
1736,Darien,Georgia,United States,
1736,Fort Frederica,Georgia,United States,"Built by the British, abandoned about 1774"
1738,Pointe-du-Lac,Quebec,Canada,Merged with Trois-Rivières in 2002.
1738,Saint-Joseph-de-Beauce,Quebec,Canada,
1739,Saint-Mathias-sur-Richelieu,Quebec,Canada,
1739,Fort Assumption,Tennessee,United States,Built by France in 1739 and abandoned in 1740
1740,Belén,New Mexico,United States,
1740,L'Île-Perrot and Notre-Dame-de-l'Île-Perrot,Quebec,Canada,
1740,Cheraw,South Carolina,United States,
1741,Bethlehem,Pennsylvania,United States,
1741,Sainte-Geneviève and Pierrrefonds,Quebec,Canada,Merged with Montreal in 2002.
1742,Les Écureuils,Quebec,Canada,Now Donnacona
1745,Sainte-Marie,Quebec,Canada,
1745,Sainte-Rose,Quebec,Canada,Integrated into Laval in 1965.
1746,Saint-Henri,Quebec,Canada,
1746,Merrimack,New Hampshire,United States,
1748,Petersburg,Virginia,United States,
1749,Alexandria,Virginia,United States,
1749,Goliad,Texas,United States,Expanded from Presidio La Bahía
1749,Port-au-Prince,Ouest,Haiti,
1749,Halifax,Nova Scotia,Canada,
1750,Erie,Pennsylvania,United States,Expanded from the French Fort Presque Isle.
1750,Rock Island,Illinois,United States,Originally the Native American Saukenuk
1751,Carlisle,Pennsylvania,United States,
1751,Georgetown,Maryland,United States,Became part of the District of Columbia when the district was incorporated in 1801. Georgetown and its government were incorporated into the district's government in 1871.
1751,Las Trampas,New Mexico,United States,
1752,Portsmouth,Virginia,United States,
1752,Akwesasne,"New York, Ontario, Quebec","Canada, United States",First known as Saint-Régis.
1752,Saint-Constant,Quebec,Canada,
1753,Saint-Philippe,Quebec,Canada,
1754,Augusta,Maine,United States,
1754,Pittsburgh,Pennsylvania,United States,Expanded from the French Fort Duquesne; replaced by the British Fort Pitt in 1758.
1755,Laredo,Texas,United States,
1755,Charlotte,North Carolina,United States,
1757,Saint-Hyacinthe,Quebec,Canada,
1761,Charlottesville,Virginia,United States,
1762,Shepherdstown,West Virginia,United States,Originally known as Mecklenburg.
1762,Allentown,Pennsylvania,United States,Incorporated as Northamptontown.
1763,St. Louis,Missouri,United States,Oldest American City West of the Mississippi River[citation needed]
1763,Burlington,Vermont,United States,
1764,Amherst,Nova Scotia,Canada,
1764,Charlottetown,Prince Edward Island,Canada,
1764,Opelousas,Louisiana,United States,
1765,Saint-Martinville,Louisiana,United States,[full citation needed]
1765,St. Charles,Missouri,United States,
1766,Moncton,New Brunswick,Canada,
1766,Vergennes,Vermont,United States,
1768,Beloeil,Quebec,Canada,
1768,L'Acadie,Quebec,Canada,Merged with Saint-Jean-sur-Richelieu in 2001.
1768,New Smyrna Beach,Florida,United States,"A Scottish entrepreneur established a colony of 1,225 immigrants in the largest colonization attempt in the US."
1768,Saint-Eustache,Quebec,Canada,
1769,San Diego,California,United States,Expanded from the Presidio of San Diego.
1769,Ninety Six,South Carolina,United States,
1770,Monterey,California,United States,Expanded from Presidio of Monterey; original capital of California
1770,San Blas,Nayarit,Mexico,Spanish Naval Department headquarters
1771,Brunswick,Georgia,United States,,1772,Ellicott City,Maryland,United States,
1772,Morgantown,West Virginia,United States,
1773,Guatemala City,Guatemala,Guatemala,
1774,Unalaska,Alaska,United States,"Oldest Russian settlement on the Aleutian Islands, dating to the 1760s. Permanent trading post established in 1774."
1774,Orizaba,Veracruz,Mexico,
1775,Tucson,Arizona,United States,Date of Spanish presidio
1775,Lexington,Kentucky,United States,
1775,Boonesborough,Kentucky,United States,"Expanded from Fort Boonesborough, built by Daniel Boone."
1776,San Francisco,California,United States,
1776,Fort Watauga,Tennessee,United States,Abandoned in 1780
1777,San Jose,California,United States,"Originally known as El Pueblo de San José de Guadalupe, the first town in the Spanish colony of Nueva California (which became Alta California)."
1778,Louisville,Kentucky,United States,"Expanded from Fort Nelson, established by George Rogers Clark."
1778,West Point,New York,United States,Expanded from Fort Clinton.
1779,Jonesborough,Tennessee,United States,"First capital of the State of Franklin, in 1784"
1779,Nashville,Tennessee,United States,Expanded from Fort Nashborough.
1781,Montpelier,Vermont,United States,
1781,Los Angeles,California,United States,
1783,Clarksville,Indiana,United States,
1783,Kingston,Ontario,Canada,"Formerly known as Fort Frontenac. 	In 1673, the original fort was built and called Fort Cataraqui. It was later renamed Fort Frontenac. It was abandoned and razed in 1689, then rebuilt in 1695.  Due to the various periods of abandonment, Windsor, Ontario, where pre-settlement occurred after Kingston, remains known as the oldest continually inhabited European-founded settlement in Canada west of Montreal. In 1783, to settlement for displaced British colonists, or Loyalists, the British Crown entered into an agreement with the Mississaugas to purchase land east of the Bay of Quinte."
1784,Cornwall,Ontario,Canada,Founded by a group of United Empire Loyalists led by Lieutenant-Colonel John Johnson.
1784,Frenchtown,Michigan,United States,Fourth French settlement in Michigan.
1785,Harrisburg,Pennsylvania,United States,
1785,Asheville,North Carolina,United States,
1785,Dubuque,Iowa,United States,"Oldest city in Iowa, and one of the oldest European settlements west of the Mississippi River."
1785,Fredericton,New Brunswick,Canada,
1785,Sydney,Nova Scotia,Canada,Former capital of the Colony of Cape Breton
1786,Columbia,South Carolina,United States,
1786,Florissant,Missouri,United States,Originally known as St. Ferdinand.
1786,Frankfort,Kentucky,United States,
1786,Lynchburg,Virginia,United States,
1786,Portland,Maine,United States,
1786,Steubenville,Ohio,United States,
1787,Spartanburg,South Carolina,United States,
1788,Marietta,Ohio,United States,First permanent American settlement in the Northwest Territory
1788,Cincinnati,Ohio,United States,
1788,Charleston,West Virginia,United States,Expanded from Fort Lee
1789,Santa Cruz de Nuca,British Columbia,Canada,First European settlement in British Columbia; only Spanish settlement in Canada
1790,Hamilton,Bermuda,United Kingdom,
1790,Washington,District of Columbia,United States,
1790,Vicksburg,Mississippi,United States,Expanded from the Spanish Fort Nogales.
1791,Georgetown,Delaware,United States,
1791,Santa Cruz,California,United States,
1791,Monroe,Louisiana,United States,Originally known as Fort Miro
1791,Kenai,Alaska,United States,Expanded from the Russian-American Company's Fort St. Nicholas.
1791,Knoxville,Tennessee,United States,
1791,Bangor,Maine,United States,
1792,Kodiak,Alaska,United States,"Founded in 1792 by Alexander Baranov as the new site for Three Saints Bay, founded in 1784."
1792,Raleigh,North Carolina,United States,
1793,Toronto,Ontario,Canada,"Formerly known as Fort Toronto. In 1750, Fort Toronto was the second French trading post established in the Humber River area. Fort Toronto, also known as Fort Portneuf, was a French trading post that was located near the mouth of the Humber River in what is now Toronto, Ontario.The first one (known as Magasin Royal or Fort Douville) had been built in 1720 near today's Baby Point, north of the mouth of the Humber River (then known as the Tanaovate River). The French abandoned Magasin Royal by the end of the 1720s, and they did not establish another trading post in the area until the construction of Fort Toronto. Fort Toronto's immediate success in attracting First Nations traders led to the establishment of nearby Fort Rouillé in 1751 until it was destroyed in 1759."
1793,Ancaster,Ontario,Canada,
1794,Fort Wayne,Indiana,United States,
1796,Chillicothe,Ohio,United States,
1796,Cleveland,Ohio,United States,
1796,Dayton,Ohio,United States,
1796,Youngstown,Ohio,United States,
1797,Windsor,Ontario,Canada,"In 1749, a French agricultural settlement was established at the site of Windsor, Ontario. The area was first named la Petite Côte (""Little Coast""—as opposed to the longer coastline on the Detroit side of the river). Later it was called La Côte de Misère (""Poverty Coast"") because of the sandy soils near LaSalle. In 1797, after the American Revolution, the settlement of ""Sandwich"" was established.  Windsor was incorporated as a village in 1854, then became a town in 1858, and gained city status in 1892. It is the oldest continually inhabited European-founded settlement in Canada west of Montreal, despite being settled after other areas in the country."
1797,"Athens, Ohio",Ohio,United States,
1797,Franklinton,Ohio,United States,Absorbed by Columbus.
1797,Mentor,Ohio,United States,
1797,Zanesville,Ohio,United States,
1797,Greenville,South Carolina,United States,
1798,Bowling Green,Kentucky,United States,
1798,Warren,Ohio,United States,
1798,"Bethel, Ohio",Ohio,United States,"Formerly known as Denham Town, founded by Obed Denham."
1799,Hudson,Ohio,United States,
1799,Potosi,Missouri,United States,
1799,Elizabethton,Tennessee,United States,Expanded from Fort Watauga which was abandoned
1799,Ravenna,Ohio,United States,
1799,Aurora,Ohio,United States,
1799,Sitka,Alaska,United States,"Original capital of Alaska; destroyed in 1802, reestablished in 1804."
1800,Buffalo,New York,United States,Expanded from four log cabins.
1800,Hull,Quebec,Canada,Formerly known as Wright's Town
1801,Athens,Georgia,United States,"Named after Athens, Greece."
1801,Burrville/Clinton,Tennessee,United States,Renamed Clinton in 1809
1803,Ashtabula,Ohio,United States,
1803,Chicago,Illinois,United States,Expanded from Fort Dearborn.
1804,Stow,Ohio,United States,
1804,Milledgeville,Georgia,United States,
1805,Huntsville,Alabama,United States,
1807,Prince George,British Columbia,Canada,"Expanded from the fur-trading post of Fort George, established by the North West Company."
1810,Manchester,New Hampshire,United States,
1810,San Bernardino,California,United States,
1811,Astoria,Oregon,United States,"Expanded from Fort Astoria, founded by the Pacific Fur Company."
1811,Murfreesboro,Tennessee,United States,Originally named Cannonsburgh; state capital from 1818 to 1826.
1812,Columbus,Ohio,United States,
1812,Kamloops,British Columbia,Canada,"Expanded from the fur-trading posts of Fort Cumcloups (Fort Kamloops) and Fort She-whaps (Shuswap), founded by the Pacific Fur and North West Companies."
1815,Hamilton,Ontario,Canada,
1815,Pickerington,Ohio,United States,
1815,Jonesboro,Arkansas,United States,
1816,Chattanooga,Tennessee,United States,Originally named Ross's Landing.
1816,Cambridge,Ontario,Canada,"Originally named Shades Mill; renamed Galt in 1827. Galt merged with the towns of Preston and Hespeler, the village of Blair and parts of Waterloo township to form Cambridge in 1973. Oldest settled area in the Waterloo Regional Municipality"
1816,Saginaw,Michigan,United States,
1817,Fort Smith,Arkansas,United States,
1817,Milan,Ohio,United States,
1818,Pontiac,Michigan,United States,"Arrival of first settlers in Michigan's first inland settlement; recognized by the state legislature in 1837, and incorporated as a city in 1861."
1818,Medina,Ohio,United States,
1818,Columbia,Missouri,United States,
1818,Jim Thorpe,Pennsylvania,United States,Formerly known as Mauch Chunk and burial place of Native American athlete Jim Thorpe
1819,Memphis,Tennessee,United States,Expanded from the 1739 French Fort de l'Assomption which was not resettled for 79 years
1819,Chapel Hill,North Carolina,United States,
1819,Montgomery,Alabama,United States,"Expanded from the 1540 French settlement, Fort Toulouse."
1819,Springfield,Illinois,United States,
1819,Tuscaloosa,Alabama,United States,
1820,South Bend,Indiana,United States,Formerly named Big St. Joseph Station.
1820,Oliver's Grove,Minnesota,United States,"Near the confluence of the Mississippi, St. Croix, and Vermillion Rivers; established as a trading post and a military detachment from Fort Snelling."
1821,Alexandria,British Columbia,Canada,"Expended from the fur-trading post of Fort Alexandria, founded by the North West Company."
1821,Bridgeport,Connecticut,United States,
1821,Little Rock,Arkansas,United States,
1821,Indianapolis,Indiana,United States,
1822,Jacksonville,Florida,United States,
1822,Jackson,Mississippi,United States,
1823,Peoria,Illinois,United States,Founded as Peoria in 1823.
1823,Tampa,Florida,United States,Expanded from Fort Brooke.
1824,Ann Arbor,Michigan,United States,
1824,Tallahassee,Florida,United States,
1824,Victoria,Texas,United States,
1825,Akron,Ohio,United States,
1825,Vancouver,Washington,United States,Expanded from Fort Vancouver.
1825,Grand Rapids,Michigan,United States,
1825,Irapuato,Guanajuato,Mexico,
1826,London,Ontario,Canada,
1826,Ottawa,Ontario,Canada,Originally known as Bytown.
1826,Wabasha,Minnesota,United States,Oldest city in Minnesota
1827,Gonzales,Texas,United States,"Founded in 1825, abandoned shortly after, refounded in 1827"
1827,Mineral Point,Wisconsin,United States,Third-oldest city in Wisconsin
1827,Guelph,Ontario,Canada,
1827,Oakville,Ontario,Canada,
1827,St. Andrews,Florida,United States,Now part of Panama City
1827,Langley,British Columbia,Canada,
1828,Key West,Florida,United States,
1828,Columbus,Georgia,United States,
1829,Oregon City,Oregon,United States,
1829,Bainbridge,Georgia,United States,
1833,Milwaukee,Wisconsin,United States,
1833,Kitchener,Ontario,Canada,Formerly Berlin; renamed in 1916.
1835,Austin,Texas,United States,
1835,Kenosha,Wisconsin,United States,Originally named Southport; renamed in 1850.
1836,Shreveport,Louisiana,United States,
1836,Madison,Wisconsin,United States,
1836,Tulsa,Oklahoma,United States,
1837,Lansing,Michigan,United States,
1837,Houston,Texas,United States,
1837,Oxford,Mississippi,United States,
1837,Toledo,Ohio,United States,
1839,Sacramento,California,United States,
1841,Dallas,Texas,United States,
1841,Racine,Wisconsin,United States,
1843,Atlanta,Georgia,United States,
1843,Des Moines,Iowa,United States,
1843,Victoria,British Columbia,Canada,Incorporated in 1862.
1844,Chagrin Falls,Ohio,United States,
1845,Portland,Oregon,United States,
1847,Brantford,Ontario,Canada,Originally known as Brant's Ford.
1847,Salt Lake City,Utah,United States,Originally known as Great Salt Lake City.
1847,Harrisburg,Illinois,United States,
1848,Mesilla,New Mexico,United States,
1849,Las Cruces,New Mexico,United States,
1849,Provo,Utah,United States,Expanded from Fort Utah.
1850,Kansas City,Missouri,United States,Originally named Kansas.
1850,Phoenix,Oregon,United States,
1851,La Crosse,Wisconsin,United States,
1851,Seattle,Washington,United States,
1852,Oakland,California,United States,
1852,Roanoke,Virginia,United States,"founded in 1852 as Big Lick, renamed Roanoke in 1884"
1854,Gainesville,Florida,United States,
1854,Omaha,Nebraska,United States,
1854,Saint Paul,Minnesota,United States,
1854,Topeka,Kansas,United States,
1854,Versailles,Missouri,United States,
1855,Champaign,Illinois,United States,Originally named West Urbana.
1856,College Park,Maryland,United States,
1856,Lincoln,Nebraska,United States,Originally named Lancaster.
1856,O'Fallon,Missouri,United States,
1857,Appleton,Wisconsin,United States,
1858,Carson City,Nevada,United States,
1858,Denver,Colorado,United States,
1858,New Westminster,British Columbia,Canada,
1859,Olympia,Washington,United States,
1862,Boise,Idaho,United States,
1862,Prince Albert,Saskatchewan,Canada,Originally known as Isbister's Settlement.
1864,Salinas,California,United States,
1865,Sioux Falls,South Dakota,United States,Expanded from Fort Dakota.
1867,Cheyenne,Wyoming,United States,
1867,Minneapolis,Minnesota,United States,
1867,Vancouver,British Columbia,Canada,Originally known as Gastown.
1868,Phoenix,Arizona,United States,
1870,Wichita,Kansas,United States,
1871,Birmingham,Alabama,United States,
1871,Longmont,Colorado,United States,Originally formed as the Chicago-Colorado Colony.,
1871,Colorado Springs,Colorado,United States,Originally named Fountain Colony.,
1871,Fargo,North Dakota,United States,Originally named Centralia.
1872,Anniston,Alabama,United States,
1873,Winnipeg,Manitoba,Canada,"Formerly known as Fort Rouge. In 1738, Fort Rouge was built on the Assiniboine River in Manitoba, Canada, on the site of what is now the city of Winnipeg. Its exact location is unknown. Its name in English means ""red fort"". The fort seems to have had a primary purpose as a depot and was abandoned by 1749."
1874,Pasadena,California,United States,
1875,Orlando,Florida,United States,
1877,Billings,Montana,United States,
1881,Brandon,Manitoba,Canada,
1882,Regina,Saskatchewan,Canada,
1883,Saskatoon,Saskatchewan,Canada,
1884,Calgary,Alberta,Canada,"Formerly known as Fort Calgary. In 1875, Fort Brisebois was established, after the outpost's first commander. It was renamed Fort Calgary in June 1876."
1885,Ruston,Louisiana,United States,
1886,Nelson,British Columbia,Canada,
1886,Takoma Park,Maryland,United States,
1887,Gulfport,Mississippi,United States,
1889,Clemson,South Carolina,United States,Originally known as Calhoun.
1889,Norman,Oklahoma,United States,
1889,Oklahoma City,Oklahoma,United States,
1889,Tijuana,Baja California,Mexico,"Tijuana derives from the Kumeyaay Tiwan (""by the sea"")"
1890,Lethbridge,Alberta,Canada,"Formerly known as Fort Whoop-Up. In 1869, Fort Hamilton was first built near what is now Lethbridge, Alberta. A second, more secure fort was built, which was later nicknamed Fort Whoop-Up."
1892,Edmonton,Alberta,Canada,"Formerly known as Fort Edmonton. In 1795, Fort Edmonton was established on the river's north bank as a major trading post for the HBC, near the mouth of the Sturgeon River close to present-day Fort Saskatchewan. Fort Edmonton was the name of a series of trading posts of the Hudson's Bay Company (HBC) from 1795 to 1914. The fifth and final Fort Edmonton, 1830–1914, was the one that evolved into present-day Edmonton."
1892,Grottoes,Virginia,United States,
1893,Kamloops,British Columbia,Canada,"From the Shuswap Tk'emlups (""meeting of the waters"")"
1894,Yorkton,Saskatchewan,Canada,"In 1882, a group of businessmen and investors formed the York Farmers Colonization Company."
1894,Palo Alto,California,United States,
1894,Tempe,Arizona,United States,
1896,Dawson City,Yukon,Canada,Capital of the Yukon Territory until 1952
1896,Miami,Florida,United States,
1896,State College,Pennsylvania,United States,
1899,Estevan,Saskatchewan,Canada,"In 1892, the first settlers arrived in what was to become Estevan. It was incorporated as a village in 1899, and later became a town in 1906."
1905,Cranbrook,British Columbia,Canada,
1903,Moose Jaw,Saskatchewan,Canada,"In 1882, settlement began there and the city was incorporated in 1903."
1903,Swift Current,Saskatchewan,Canada,"In 1883, the settlement of Swift Current was established. On September 21, 1903, the Hamlet of Swift Current became a village and on March 15, 1907, Swift Current became a town when the population reached 550 people."
1905,Las Vegas,Nevada,United States,
1906,Virginia Beach,Virginia,United States,
1906,North Battleford,Saskatchewan,Canada,"In 1875, permanent European settlement started in the area centred around the town of Battleford, and located on the south side of the North Saskatchewan River.",
1911,The Pas,Manitoba,Canada,Expanded from Fort Paskoyac.
1914,Anchorage,Alaska,United States,
1915,Prince George,British Columbia,Canada,Expanded from Fort George.
1916,Truth Or Consequences,New Mexico,United States,Originally named Hot Springs.
1934,Yellowknife,Northwest Territories,Canada,
1942,Iqaluit,Nunavut,Canada,
1950,Alert,Nunavut,Canada,World's northernmost permanently-inhabited place[citation needed]
1956,Corner Brook,Newfoundland and Labrador,Canada,
1970,Cancún,Quintana Roo,Mexico,Planned balneario
2002,Gatineau,Quebec,Canada,"Formed by merging five cities, including Hull."
